image,ground_truth,prediction,CER_score,,,,,,,,,,,,,,,,,,
test001_1.jpg,B9140BCD,B9140CD,0.125,,,,,,,,,,,,,,,,,,
test001_2.jpg,B2407UZO,UZO,0.625,,,,,,,,,,predictions that match the ground truth ,,,,,,total number of errors,,
test035_4.jpg,W1696YO,R1696YO,0.1429,,,,,,,,,,,,,,,,,,
test036_1.jpg,B1231JJA,B12345JA,0.25,,,,,,,,,,,,,,,,,,
test036_2.jpg,B1618UAE,R16888,0.625,,,,,,,,,,,,,,,,,,
test037_1.jpg,L1775VO,1775V,0.2857,,,,,,,,,,,,,,,,,,
test037_2.jpg,L300RX,RX300,0.6667,,,,,,,,,,,,,,,,,,
test037_3.jpg,L1879VG,R1876,0.5714,,,,,,,,,,,,,,,,,,
test038_1.jpg,D1523YCN,R1623YN,0.375,,,,,,,,,,,,,,,,,,
test038_2.jpg,L1877ACU,1877AUC,0.375,,,,,,,,,,,,,,,,,,
test039_1.jpg,L1069VK,1069,0.4286,,,,,,,,,,,,,,,,,,
test040_1.jpg,S1595LL,R1590T,0.5714,,,,,,,,,,,,,,,,,,
test041_1.jpg,B1231JJA,123456,0.625,,,,,,,,,,,,,,,,,,
test042_1.jpg,AD1174SF,R172S,0.625,,,,,,,,,,,,,,,,,,
test043_1.jpg,W1898YW,WY1898,0.4286,,,,,,,,,,,,,,,,,,
test043_2.jpg,W1470PG,RWL1401,0.7143,,,,,,,,,,,,,,,,,,
test044_1.jpg,L1930KF,R1930KLF,0.2857,,,,,,,,,,,,,,,,,,
test044_2.jpg,N1004HE,N104HE,0.1429,,,,,,,,,,,,,,,,,,
test045_1.jpg,S1347LJ,S1347,0.2857,,,,,,,,,,,,,,,,,,
test046_1.jpg,L1470ABK,L1470AABK,0.125,,,,,,,,,,,,,,,,,,
test046_2.jpg,L1265MX,L12675MX,0.1429,,,,,,,,,,,,,,,,,,
test047_1.jpg,N1524SY,R15234SY,0.2857,,,,,,,,,,,,,,,,,,
test047_2.jpg,L1678ACE,L1678ACE,0,,,,,,,,,,,,,,,,,,
test048_1.jpg,L9316BC,RL319016,1,,,,,,,,,,,,,,,,,,
test048_2.jpg,W1838AY,R1838AY,0.1429,,,,,,,,,,,,,,,,,,
test049_1.jpg,N1376DE,N1376DEL,0.1429,,,,,,,,,,,,,,,,,,
test049_2.jpg,N79AP,R79N,0.6,,,,,,,,,,,,,,,,,,
test050_1.jpg,L1265OF,1265,0.4286,,,,,,,,,,,,,,,,,,
test050_2.jpg,N1095G,R1065,0.5,,,,,,,,,,,,,,,,,,
test051_1.jpg,N1718HC,RN1718HC,0.1429,,,,,,,,,,,,,,,,,,
test052_1.jpg,N6497KS,67487KS,0.4286,,,,,,,,,,,,,,,,,,
test052_2.jpg,N5235ABX,N5233ABY,0.25,,,,,,,,,,,,,,,,,,
test052_3.jpg,N4980KJ,49800NKJL,0.5714,,,,,,,,,,,,,,,,,,
test053_1.jpg,N1365AAO,N1360AAA,0.25,,,,,,,,,,,,,,,,,,
test054_1.jpg,N1077AAK,R1077AAK,0.125,,,,,,,,,,,,,,,,,,
test054_2.jpg,N1084AAO,RN1087,0.625,,,,,,,,,,,,,,,,,,
test055_1.jpg,N1610KS,R1609KS,0.4286,,,,,,,,,,,,,,,,,,
test056_1.jpg,N924CIA,RN927CIA,0.2857,,,,,,,,,,,,,,,,,,
test056_2.jpg,N1623HB,R162303HB,0.4286,,,,,,,,,,,,,,,,,,
test056_3.jpg,L1430HF,R,1,,,,,,,,,,,,,,,,,,
test057_1.jpg,N1342T,N1342T,0,,,,,,,,,,,,,,,,,,
test057_2.jpg,N4145AB,N15234AD,1.1429,,,,,,,,,,,,,,,,,,
test057_3.jpg,N1396AAH,R1390AAA,0.375,,,,,,,,,,,,,,,,,,
test058_1.jpg,N3153ACB,N313156AAB,0.5,,,,,,,,,,,,,,,,,,
test058_2.jpg,N5829KJ,56829,0.5714,,,,,,,,,,,,,,,,,,
test058_3.jpg,N1780JL,R1780JL,0.1429,,,,,,,,,,,,,,,,,,
test059_1.jpg,W8774PA,W874PA,0.1429,,,,,,,,,,,,,,,,,,
test059_2.jpg,B9162FXU,R9102FXU,0.25,,,,,,,,,,,,,,,,,,
test060_1.jpg,L1846JE,LJ,0.7143,,,,,,,,,,,,,,,,,,
test060_2.jpg,M1457ITA,RM14657ATA,0.375,,,,,,,,,,,,,,,,,,
test061_1.jpg,AA1971KJ,AA1971KJ,0,,,,,,,,,,,,,,,,,,
test061_2.jpg,BD1146DH,RDH,0.75,,,,,,,,,,,,,,,,,,
test062_1.jpg,B9654PEU,B9654,0.375,,,,,,,,,,,,,,,,,,
test062_2.jpg,AE7244S,AE72146S,0.2857,,,,,,,,,,,,,,,,,,
test063_1.jpg,S1208BI,R1208BI,0.1429,,,,,,,,,,,,,,,,,,
test064_1.jpg,AE8137G,AEA81170,0.4286,,,,,,,,,,,,,,,,,,
test065_1.jpg,H1706SW,HW1706SW,0.1429,,,,,,,,,,,,,,,,,,
test066_1.jpg,T1220HS,R1230,0.5714,,,,,,,,,,,,,,,,,,
test066_2.jpg,H1790ZY,HY1790ZY,0.1429,,,,,,,,,,,,,,,,,,
test067_1.jpg,L1855BR,R1856BR,0.2857,,,,,,,,,,,,,,,,,,
test067_2.jpg,AB1274EV,AB1274EV,0,,,,,,,,,,,,,,,,,,
test068_1.jpg,B2310UZS,R2301UZS,0.375,,,,,,,,,,,,,,,,,,
test068_2.jpg,G1264CM,RG1264,0.4286,,,,,,,,,,,,,,,,,,
test069_1.jpg,AA1138AK,AAA1380,0.5,,,,,,,,,,,,,,,,,,
test070_1.jpg,B2160TOB,B2160T,0.25,,,,,,,,,,,,,,,,,,
test070_2.jpg,B2597BYK,25907BYK,0.25,,,,,,,,,,,,,,,,,,
test071_1.jpg,G9545AG,G9546AGA,0.2857,,,,,,,,,,,,,,,,,,
test072_1.jpg,BG1870IB,R1870,0.5,,,,,,,,,,,,,,,,,,
test073_1.jpg,T1187HB,R1987,0.5714,,,,,,,,,,,,,,,,,,
test073_2.jpg,A1330FP,A1330,0.2857,,,,,,,,,,,,,,,,,,
test074_1.jpg,G1368GE,RG1368,0.4286,,,,,,,,,,,,,,,,,,
test074_2.jpg,B1081CMR,R1080CMR,0.25,,,,,,,,,,,,,,,,,,
test075_1.jpg,G2474XZ,6.20E+13,2.1429,,,,,,,,,,,,,,,,,,
test075_2.jpg,G9173BP,R9173,0.4286,,,,,,,,,,,,,,,,,,
test075_3.jpg,7066OF,R123456,1.5,,,,,,,,,,,,,,,,,,
test076_1.jpg,G2151ASF,6123011,1,,,,,,,,,,,,,,,,,,
test076_2.jpg,E500MA,500MAINST,0.8333,,,,,,,,,,,,,,,,,,
test076_3.jpg,G4689SN,G42089,0.5714,,,,,,,,,,,,,,,,,,
test077_1.jpg,G1754QZ,61740,0.5714,,,,,,,,,,,,,,,,,,
test078_1.jpg,H1413DH,RH1413,0.4286,,,,,,,,,,,,,,,,,,
test079_1.jpg,T1688GY,R1687,0.5714,,,,,,,,,,,,,,,,,,
test079_2.jpg,A1260AJ,AJ,0.7143,,,,,,,,,,,,,,,,,,
test080_1.jpg,D77HSB,77HSB,0.1667,,,,,,,,,,,,,,,,,,
test080_2.jpg,B1861TOI,R1861,0.5,,,,,,,,,,,,,,,,,,
test080_3.jpg,D1160ADE,R1106ADE,0.375,,,,,,,,,,,,,,,,,,
test081_1.jpg,F8097BD,80917,0.5714,,,,,,,,,,,,,,,,,,
test081_2.jpg,F1992AM,R1987,0.7143,,,,,,,,,,,,,,,,,,
test082_1.jpg,E1824YZ,YZ724,0.7143,,,,,,,,,,,,,,,,,,
test082_2.jpg,B9093UEX,R90345,0.625,,,,,,,,,,,,,,,,,,
test083_1.jpg,F5052AAE,F50572AAE,0.125,,,,,,,,,,,,,,,,,,
test083_2.jpg,F5452CQ,F5652,0.4286,,,,,,,,,,,,,,,,,,
test084_1.jpg,B1158PYP,1608YP,0.5,,,,,,,,,,,,,,,,,,
test084_2.jpg,B1242VOY,B1234VY,0.375,,,,,,,,,,,,,,,,,,
test085_1.jpg,B1315KIF,R1345KIF,0.25,,,,,,,,,,,,,,,,,,
test085_2.jpg,B2938FVJ,RB2036VJ,0.5,,,,,,,,,,,,,,,,,,
test085_3.jpg,B2560SKZ,B20600SZ,0.375,,,,,,,,,,,,,,,,,,
test086_1.jpg,B1291NOJ,RB1291,0.5,,,,,,,,,,,,,,,,,,
test086_2.jpg,B1556NRC,R1556NRC,0.125,,,,,,,,,,,,,,,,,,
test087_1.jpg,B6823WXR,B682307WRXR,0.375,,,,,,,,,,,,,,,,,,
test087_2.jpg,B6317NXK,R631717,0.5,,,,,,,,,,,,,,,,,,
test087_3.jpg,F2215FCQ,F2115,0.5,,,,,,,,,,,,,,,,,,
test087_4.jpg,4039NHR,405399HR,0.2857,,,,,,,,,,,,,,,,,,
test088_1.jpg,B2190TYB,RD21901,0.625,,,,,,,,,,,,,,,,,,
test088_2.jpg,B1902VKA,RVA1902,0.75,,,,,,,,,,,,,,,,,,
test089_1.jpg,D8609N,RD98609,0.5,,,,,,,,,,,,,,,,,,
test089_2.jpg,A8406ZE,A86400665,0.5714,,,,,,,,,,,,,,,,,,
test089_3.jpg,B1246KRK,RKR,0.75,,,,,,,,,,,,,,,,,,
test090_1.jpg,T9314E,R9314,0.3333,,,,,,,,,,,,,,,,,,
test090_2.jpg,N9579U,N0579UL,0.3333,,,,,,,,,,,,,,,,,,
test091_1.jpg,B2910KZW,R2910KW,0.25,,,,,,,,,,,,,,,,,,
test091_2.jpg,B9721KXV,B97201,0.5,,,,,,,,,,,,,,,,,,
test092_1.jpg,B1104AAA,R1104AAA,0.125,,,,,,,,,,,,,,,,,,
test092_2.jpg,T1579FN,1560,0.7143,,,,,,,,,,,,,,,,,,
test092_3.jpg,B2346POC,2346,0.5,,,,,,,,,,,,,,,,,,
test093_1.jpg,B2026BIU,RB2021,0.625,,,,,,,,,,,,,,,,,,
test094_1.jpg,G1255EJ,RG1256EJ,0.2857,,,,,,,,,,,,,,,,,,
test095_1.jpg,B1201KAD,R1201KAD,0.125,,,,,,,,,,,,,,,,,,
test095_2.jpg,B2310JUK,B231401,0.5,,,,,,,,,,,,,,,,,,
test095_3.jpg,B28YHH,R286YHV,0.5,,,,,,,,,,,,,,,,,,
test096_1.jpg,B1354COJ,R1354CJO,0.375,,,,,,,,,,,,,,,,,,
test096_2.jpg,B1502NRO,R1500203,0.625,,,,,,,,,,,,,,,,,,
test097_1.jpg,B1650NOG,R16500NG,0.375,,,,,,,,,,,,,,,,,,
test097_2.jpg,B6354SVL,63540125,0.625,,,,,,,,,,,,,,,,,,
test098_1.jpg,B1779DOB,R1770D,0.5,,,,,,,,,,,,,,,,,,
test099_1.jpg,B2017PBQ,R072117,0.875,,,,,,,,,,,,,,,,,,
test099_2.jpg,B1892WZT,R1890WZT,0.25,,,,,,,,,,,,,,,,,,
test100_1.jpg,B1071PRG,R10171,0.625,,,,,,,,,,,,,,,,,,
test100_2.jpg,B2134PZJ,B8213,0.625,,,,,,,,,,,,,,,,,,
